FastText

alpha	beta	precision	recall	f-measure
0.4	0.6	0.2463768115942029	0.8	0.3767313019390582
0.4	0.7	0.24548736462093862	0.8095238095238095	0.3767313019390582
0.4	0.8	0.23381294964028776	0.8024691358024691	0.36211699164345407
0.4	0.9	0.23381294964028776	0.8024691358024691	0.36211699164345407
0.5	0.1	0.17253521126760563	0.875	0.2882352941176471
0.5	0.2	0.17894736842105263	0.8360655737704918	0.29479768786127175
0.5	0.3	0.1795774647887324	0.8360655737704918	0.29565217391304344
0.5	0.4	0.17667844522968199	0.819672131147541	0.29069767441860467
0.5	0.5	0.23655913978494625	0.7951807228915663	0.3646408839779006
0.5	0.6	0.24014336917562723	0.7976190476190477	0.3691460055096419
0.5	0.7	0.2446043165467626	0.7906976744186046	0.37362637362637363
0.5	0.8	0.24731182795698925	0.8023255813953488	0.3780821917808219
0.5	0.9	0.24731182795698925	0.8117647058823529	0.37912087912087916
0.6	0.1	0.17525773195876287	0.8360655737704918	0.28977272727272724
0.6	0.2	0.17832167832167833	0.8360655737704918	0.29394812680115273
0.6	0.3	0.18181818181818182	0.8387096774193549	0.2988505747126437
0.6	0.4	0.17770034843205576	0.8225806451612904	0.2922636103151863
0.6	0.5	0.23214285714285715	0.7738095238095238	0.35714285714285715
0.6	0.6	0.24199288256227758	0.8	0.371584699453552
0.6	0.7	0.2392857142857143	0.7976190476190477	0.3681318681318681
0.6	0.8	0.24731182795698925	0.7931034482758621	0.3770491803278688
0.6	0.9	0.25	0.8045977011494253	0.38147138964577654
0.7	0.1	0.17586206896551723	0.8225806451612904	0.28977272727272724
0.7	0.2	0.17993079584775087	0.8524590163934426	0.29714285714285715
0.7	0.3	0.18118466898954705	0.8387096774193549	0.2979942693409742
0.7	0.4	0.18118466898954705	0.8387096774193549	0.2979942693409742
0.7	0.5	0.225	0.7777777777777778	0.3490304709141275
0.7	0.6	0.2392857142857143	0.7790697674418605	0.366120218579235
0.7	0.7	0.24199288256227758	0.8	0.371584699453552
0.7	0.8	0.2392857142857143	0.7976190476190477	0.3681318681318681
0.7	0.9	0.24555160142348753	0.7931034482758621	0.375
0.8	0.1	0.17301038062283736	0.847457627118644	0.28735632183908044
0.8	0.2	0.1793103448275862	0.8524590163934426	0.2962962962962963
0.8	0.3	0.18466898954703834	0.8548387096774194	0.30372492836676224
0.8	0.4	0.18118466898954705	0.8387096774193549	0.2979942693409742
0.8	0.5	0.22580645161290322	0.7682926829268293	0.3490304709141274
0.8	0.6	0.22857142857142856	0.7710843373493976	0.3526170798898072
0.8	0.7	0.2392857142857143	0.7790697674418605	0.366120218579235
0.8	0.8	0.24199288256227758	0.8	0.371584699453552
0.8	0.9	0.24285714285714285	0.8	0.37260273972602737
0.9	0.1	0.17301038062283736	0.847457627118644	0.28735632183908044
0.9	0.2	0.18556701030927836	0.8852459016393442	0.3068181818181819
0.9	0.3	0.1840277777777778	0.8548387096774194	0.3028571428571429
0.9	0.4	0.18466898954703834	0.8548387096774194	0.30372492836676224
0.9	0.5	0.22857142857142856	0.7901234567901234	0.3545706371191135
0.9	0.6	0.22939068100358423	0.7619047619047619	0.3526170798898072
0.9	0.7	0.2357142857142857	0.7764705882352941	0.36164383561643837
0.9	0.8	0.2392857142857143	0.7790697674418605	0.366120218579235
0.9	0.9	0.24199288256227758	0.8	0.371584699453552

maxAlpha: 0.6,	maxBeta: 0.9,	maxFMeasure: 0.38147138964577654
